_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
141,2012Q1,S08000025,"",S08000020,Upper GI,"",1,"",1,""
142,2012Q1,S08000025,"",S08000020,All Cancer Types,d,252,"",109,""
143,2012Q1,S08000025,"",S08000025,Colorectal,"",113,"",109,""
144,2012Q1,S08000025,"",S08000025,Urological,"",1,"",2,""
145,2012Q1,S08000025,"",S08000025,All Cancer Types,d,203,"",203,""
146,2012Q1,S08000026,"",S08000020,Colorectal,"",113,"",2,""
147,2012Q1,S08000026,"",S08000020,Lung,"",113,"",109,""
148,2012Q1,S08000026,"",S08000020,Lymphoma,"",1,"",2,""
149,2012Q1,S08000026,"",S08000020,Urological,"",1,"",2,""
150,2012Q1,S08000026,"",S08000020,All Cancer Types,d,316,"",279,""
151,2012Q1,S08000026,"",S08000026,Breast,"",1,"",2,""
152,2012Q1,S08000026,"",S08000026,Colorectal,"",252,"",240,""
153,2012Q1,S08000026,"",S08000026,Lung,"",203,"",203,""
154,2012Q1,S08000026,"",S08000026,Melanoma,"",1,"",2,""
155,2012Q1,S08000026,"",S08000026,Upper GI,"",1,"",2,""
156,2012Q1,S08000026,"",S08000026,All Cancer Types,d,2,"",3,""
157,2012Q1,S08000028,"",S08000022,Colorectal,"",1,"",2,""
158,2012Q1,S08000028,"",S08000022,All Cancer Types,d,1,"",2,""
159,2012Q1,S08000028,"",S08000028,Colorectal,"",113,"",109,""
160,2012Q1,S08000028,"",S08000028,Lung,"",284,"",279,""
161,2012Q1,S08000028,"",S08000028,Upper GI,"",113,"",109,""
162,2012Q1,S08000028,"",S08000028,Urological,"",1,"",2,""
163,2012Q1,S08000028,"",S08000028,All Cancer Types,d,2,"",3,""
164,2012Q1,S08000028,"",SB0801,Lung,"",1,"",2,""
165,2012Q1,S08000028,"",SB0801,Upper GI,"",1,"",2,""
166,2012Q1,S08000028,"",SB0801,All Cancer Types,d,113,"",109,""
167,2012Q1,S08000029,"",S08000024,Breast,"",1,"",2,""
168,2012Q1,S08000029,"",S08000024,Cervical,"",113,"",2,""
169,2012Q1,S08000029,"",S08000024,Colorectal,"",203,"",109,""
170,2012Q1,S08000029,"",S08000024,Head & Neck,"",203,"",203,""
171,2012Q1,S08000029,"",S08000024,Lung,"",48,"",14,""
172,2012Q1,S08000029,"",S08000024,Lymphoma,"",1,"",2,""
173,2012Q1,S08000029,"",S08000024,Ovarian,"",1,"",2,""
174,2012Q1,S08000029,"",S08000024,Urological,"",203,"",109,""
175,2012Q1,S08000029,"",S08000024,All Cancer Types,d,190,"",132,""
176,2012Q1,S08000029,"",S08000029,Breast,"",145,"",143,""
177,2012Q1,S08000029,"",S08000029,Cervical,"",1,"",2,""
178,2012Q1,S08000029,"",S08000029,Colorectal,"",219,"",180,""
179,2012Q1,S08000029,"",S08000029,Head & Neck,"",113,"",109,""
180,2012Q1,S08000029,"",S08000029,Lung,"",257,"",243,""
181,2012Q1,S08000029,"",S08000029,Lymphoma,"",316,"",279,""
182,2012Q1,S08000029,"",S08000029,Melanoma,"",284,"",279,""
183,2012Q1,S08000029,"",S08000029,Ovarian,"",252,"",109,""
184,2012Q1,S08000029,"",S08000029,Upper GI,"",81,"",78,""
185,2012Q1,S08000029,"",S08000029,Urological,"",198,"",180,""
186,2012Q1,S08000029,"",S08000029,All Cancer Types,d,71,"",57,""
187,2012Q1,S08000029,"",S08000030,Lung,"",203,"",203,""
188,2012Q1,S08000029,"",S08000030,All Cancer Types,d,203,"",203,""
189,2012Q1,S08000030,"",S08000020,Lung,"",1,"",2,""
190,2012Q1,S08000030,"",S08000020,All Cancer Types,d,1,"",2,""
191,2012Q1,S08000030,"",S08000024,Lung,"",252,"",203,""
192,2012Q1,S08000030,"",S08000024,All Cancer Types,d,252,"",203,""
193,2012Q1,S08000030,"",S08000030,Breast,"",334,"",322,""
194,2012Q1,S08000030,"",S08000030,Cervical,"",113,"",109,""
195,2012Q1,S08000030,"",S08000030,Colorectal,"",261,"",233,""
196,2012Q1,S08000030,"",S08000030,Head & Neck,"",368,"",331,""
197,2012Q1,S08000030,"",S08000030,Lung,"",233,"",226,""
198,2012Q1,S08000030,"",S08000030,Lymphoma,"",284,"",279,""
199,2012Q1,S08000030,"",S08000030,Melanoma,"",2,"",3,""
200,2012Q1,S08000030,"",S08000030,Ovarian,"",252,"",240,""
201,2012Q1,S08000030,"",S08000030,Upper GI,"",39,"",34,""
202,2012Q1,S08000030,"",S08000030,Urological,"",219,"",204,""
203,2012Q1,S08000030,"",S08000030,All Cancer Types,d,133,"",120,""
204,2012Q1,S08000031,"",S08000022,Colorectal,"",113,"",2,""
205,2012Q1,S08000031,"",S08000022,All Cancer Types,d,113,"",2,""
206,2012Q1,S08000031,"",S08000024,Urological,"",1,"",2,""
207,2012Q1,S08000031,"",S08000024,All Cancer Types,d,1,"",2,""
208,2012Q1,S08000031,"",S08000031,Breast,"",118,"",114,""
209,2012Q1,S08000031,"",S08000031,Cervical,"",316,"",306,""
210,2012Q1,S08000031,"",S08000031,Colorectal,"",3,"",392,""
211,2012Q1,S08000031,"",S08000031,Head & Neck,"",223,"",217,""
212,2012Q1,S08000031,"",S08000031,Lung,"",8,"",387,""
213,2012Q1,S08000031,"",S08000031,Lymphoma,"",91,"",88,""
214,2012Q1,S08000031,"",S08000031,Melanoma,"",166,"",161,""
215,2012Q1,S08000031,"",S08000031,Ovarian,"",316,"",306,""
216,2012Q1,S08000031,"",S08000031,Upper GI,"",413,"",391,""
217,2012Q1,S08000031,"",S08000031,Urological,"",388,"",381,""
218,2012Q1,S08000031,"",S08000031,All Cancer Types,d,336,"",314,""
219,2012Q1,S08000031,"",S08000032,Breast,"",252,"",240,""
220,2012Q1,S08000031,"",S08000032,All Cancer Types,d,252,"",240,""
221,2012Q1,S08000031,"",SB0801,Lung,"",396,"",331,""
222,2012Q1,S08000031,"",SB0801,All Cancer Types,d,396,"",331,""
223,2012Q1,S08000032,"",S08000031,Breast,"",1,"",2,""
224,2012Q1,S08000032,"",S08000031,Cervical,"",284,"",279,""
225,2012Q1,S08000032,"",S08000031,Colorectal,"",316,"",240,""
226,2012Q1,S08000032,"",S08000031,Head & Neck,"",1,"",2,""
227,2012Q1,S08000032,"",S08000031,Lung,"",135,"",121,""
228,2012Q1,S08000032,"",S08000031,Melanoma,"",203,"",203,""
229,2012Q1,S08000032,"",S08000031,Ovarian,"",252,"",240,""
230,2012Q1,S08000032,"",S08000031,Upper GI,"",284,"",279,""
231,2012Q1,S08000032,"",S08000031,Urological,"",113,"",109,""
232,2012Q1,S08000032,"",S08000031,All Cancer Types,d,281,"",264,""
233,2012Q1,S08000032,"",S08000032,Breast,"",292,"",287,""
234,2012Q1,S08000032,"",S08000032,Cervical,"",203,"",109,""
235,2012Q1,S08000032,"",S08000032,Colorectal,"",265,"",250,""
236,2012Q1,S08000032,"",S08000032,Head & Neck,"",252,"",240,""
237,2012Q1,S08000032,"",S08000032,Lung,"",219,"",217,""
238,2012Q1,S08000032,"",S08000032,Lymphoma,"",252,"",240,""
239,2012Q1,S08000032,"",S08000032,Melanoma,"",39,"",34,""
240,2012Q1,S08000032,"",S08000032,Ovarian,"",113,"",109,""
241,2012Q1,S08000032,"",S08000032,Upper GI,"",145,"",132,""
242,2012Q1,S08000032,"",S08000032,Urological,"",257,"",234,""
243,2012Q1,S08000032,"",S08000032,All Cancer Types,d,133,"",124,""
244,2012Q1,S08000032,"",SB0801,Lung,"",396,"",388,""
245,2012Q1,S08000032,"",SB0801,All Cancer Types,d,396,"",388,""
246,2012Q1,S92000003,d,S08000015,Breast,"",292,"",287,""
247,2012Q1,S92000003,d,S08000015,Cervical,"",113,"",109,""
248,2012Q1,S92000003,d,S08000015,Colorectal,"",211,"",195,""
249,2012Q1,S92000003,d,S08000015,Head & Neck,"",113,"",109,""
250,2012Q1,S92000003,d,S08000015,Lung,"",228,"",222,""
251,2012Q1,S92000003,d,S08000015,Lymphoma,"",2,"",388,""
252,2012Q1,S92000003,d,S08000015,Melanoma,"",113,"",109,""
253,2012Q1,S92000003,d,S08000015,Ovarian,"",113,"",109,""
254,2012Q1,S92000003,d,S08000015,Upper GI,"",135,"",132,""
255,2012Q1,S92000003,d,S08000015,Urological,"",29,"",14,""
256,2012Q1,S92000003,d,S08000015,All Cancer Types,d,80,"",72,""
257,2012Q1,S92000003,d,S08000016,Breast,"",2,"",3,""
258,2012Q1,S92000003,d,S08000016,Cervical,"",1,"",2,""
259,2012Q1,S92000003,d,S08000016,Colorectal,"",39,"",34,""
260,2012Q1,S92000003,d,S08000016,Head & Neck,"",1,"",2,""
261,2012Q1,S92000003,d,S08000016,Lung,"",39,"",34,""
262,2012Q1,S92000003,d,S08000016,Lymphoma,"",203,"",203,""
263,2012Q1,S92000003,d,S08000016,Melanoma,"",203,"",203,""
264,2012Q1,S92000003,d,S08000016,Ovarian,"",113,"",109,""
265,2012Q1,S92000003,d,S08000016,Upper GI,"",316,"",306,""
266,2012Q1,S92000003,d,S08000016,Urological,"",39,"",34,""
267,2012Q1,S92000003,d,S08000016,All Cancer Types,d,329,"",315,""
268,2012Q1,S92000003,d,S08000017,Breast,"",2,"",3,""
269,2012Q1,S92000003,d,S08000017,Colorectal,"",114,"",110,""
270,2012Q1,S92000003,d,S08000017,Head & Neck,"",113,"",109,""
271,2012Q1,S92000003,d,S08000017,Lung,"",29,"",24,""
272,2012Q1,S92000003,d,S08000017,Lymphoma,"",113,"",109,""
273,2012Q1,S92000003,d,S08000017,Melanoma,"",203,"",203,""
274,2012Q1,S92000003,d,S08000017,Ovarian,"",113,"",109,""
275,2012Q1,S92000003,d,S08000017,Upper GI,"",81,"",78,""
276,2012Q1,S92000003,d,S08000017,Urological,"",81,"",78,""
277,2012Q1,S92000003,d,S08000017,All Cancer Types,d,383,"",381,""
278,2012Q1,S92000003,d,S08000019,Breast,"",175,"",132,""
279,2012Q1,S92000003,d,S08000019,Colorectal,"",135,"",110,""
280,2012Q1,S92000003,d,S08000019,Head & Neck,"",113,"",109,""
281,2012Q1,S92000003,d,S08000019,Lung,"",156,"",153,""
282,2012Q1,S92000003,d,S08000019,Lymphoma,"",284,"",279,""
283,2012Q1,S92000003,d,S08000019,Melanoma,"",284,"",279,""
284,2012Q1,S92000003,d,S08000019,Ovarian,"",1,"",2,""
285,2012Q1,S92000003,d,S08000019,Upper GI,"",70,"",67,""
286,2012Q1,S92000003,d,S08000019,Urological,"",236,"",204,""
287,2012Q1,S92000003,d,S08000019,All Cancer Types,d,45,"",30,""
288,2012Q1,S92000003,d,S08000020,Breast,"",388,"",385,""
289,2012Q1,S92000003,d,S08000020,Cervical,"",252,"",240,""
290,2012Q1,S92000003,d,S08000020,Colorectal,"",278,"",226,""
291,2012Q1,S92000003,d,S08000020,Head & Neck,"",17,"",3,""
292,2012Q1,S92000003,d,S08000020,Lung,"",281,"",264,""
293,2012Q1,S92000003,d,S08000020,Lymphoma,"",316,"",203,""
294,2012Q1,S92000003,d,S08000020,Melanoma,"",396,"",388,""
295,2012Q1,S92000003,d,S08000020,Ovarian,"",396,"",388,""
296,2012Q1,S92000003,d,S08000020,Upper GI,"",190,"",161,""
297,2012Q1,S92000003,d,S08000020,Urological,"",261,"",233,""
298,2012Q1,S92000003,d,S08000020,All Cancer Types,d,200,"",174,""
299,2012Q1,S92000003,d,S08000022,Breast,"",236,"",231,""
300,2012Q1,S92000003,d,S08000022,Cervical,"",203,"",203,""
301,2012Q1,S92000003,d,S08000022,Colorectal,"",223,"",195,""
302,2012Q1,S92000003,d,S08000022,Head & Neck,"",368,"",331,""
303,2012Q1,S92000003,d,S08000022,Lung,"",175,"",161,""
304,2012Q1,S92000003,d,S08000022,Lymphoma,"",284,"",279,""
305,2012Q1,S92000003,d,S08000022,Melanoma,"",368,"",369,""
306,2012Q1,S92000003,d,S08000022,Ovarian,"",113,"",109,""
307,2012Q1,S92000003,d,S08000022,Upper GI,"",102,"",99,""
308,2012Q1,S92000003,d,S08000022,Urological,"",70,"",56,""
309,2012Q1,S92000003,d,S08000022,All Cancer Types,d,66,"",55,""
310,2012Q1,S92000003,d,S08000024,Breast,"",78,"",75,""
311,2012Q1,S92000003,d,S08000024,Cervical,"",252,"",203,""
312,2012Q1,S92000003,d,S08000024,Colorectal,"",6,"",396,""
313,2012Q1,S92000003,d,S08000024,Head & Neck,"",124,"",99,""
314,2012Q1,S92000003,d,S08000024,Lung,"",35,"",20,""
315,2012Q1,S92000003,d,S08000024,Lymphoma,"",59,"",56,""
316,2012Q1,S92000003,d,S08000024,Melanoma,"",175,"",161,""
317,2012Q1,S92000003,d,S08000024,Ovarian,"",59,"",45,""
318,2012Q1,S92000003,d,S08000024,Upper GI,"",240,"",233,""
319,2012Q1,S92000003,d,S08000024,Urological,"",8,"",390,""
320,2012Q1,S92000003,d,S08000024,All Cancer Types,d,322,"",303,""
321,2012Q1,S92000003,d,S08000025,Colorectal,"",113,"",109,""
322,2012Q1,S92000003,d,S08000025,Urological,"",1,"",2,""
323,2012Q1,S92000003,d,S08000025,All Cancer Types,d,203,"",203,""
324,2012Q1,S92000003,d,S08000026,Breast,"",1,"",2,""
325,2012Q1,S92000003,d,S08000026,Colorectal,"",252,"",240,""
326,2012Q1,S92000003,d,S08000026,Lung,"",203,"",203,""
327,2012Q1,S92000003,d,S08000026,Melanoma,"",1,"",2,""
328,2012Q1,S92000003,d,S08000026,Upper GI,"",1,"",2,""
329,2012Q1,S92000003,d,S08000026,All Cancer Types,d,2,"",3,""
330,2012Q1,S92000003,d,S08000028,Colorectal,"",113,"",109,""
331,2012Q1,S92000003,d,S08000028,Lung,"",284,"",279,""
332,2012Q1,S92000003,d,S08000028,Upper GI,"",113,"",109,""
333,2012Q1,S92000003,d,S08000028,Urological,"",1,"",2,""
334,2012Q1,S92000003,d,S08000028,All Cancer Types,d,2,"",3,""
335,2012Q1,S92000003,d,S08000029,Breast,"",175,"",170,""
336,2012Q1,S92000003,d,S08000029,Cervical,"",1,"",2,""
337,2012Q1,S92000003,d,S08000029,Colorectal,"",219,"",180,""
338,2012Q1,S92000003,d,S08000029,Head & Neck,"",113,"",109,""
339,2012Q1,S92000003,d,S08000029,Lung,"",257,"",243,""
340,2012Q1,S92000003,d,S08000029,Lymphoma,"",316,"",279,""
341,2012Q1,S92000003,d,S08000029,Melanoma,"",284,"",279,""
342,2012Q1,S92000003,d,S08000029,Ovarian,"",252,"",109,""
343,2012Q1,S92000003,d,S08000029,Upper GI,"",81,"",78,""
344,2012Q1,S92000003,d,S08000029,Urological,"",198,"",180,""
345,2012Q1,S92000003,d,S08000029,All Cancer Types,d,74,"",60,""
346,2012Q1,S92000003,d,S08000030,Breast,"",334,"",322,""
347,2012Q1,S92000003,d,S08000030,Cervical,"",113,"",109,""
348,2012Q1,S92000003,d,S08000030,Colorectal,"",261,"",233,""
349,2012Q1,S92000003,d,S08000030,Head & Neck,"",368,"",331,""
350,2012Q1,S92000003,d,S08000030,Lung,"",243,"",233,""
351,2012Q1,S92000003,d,S08000030,Lymphoma,"",284,"",279,""
352,2012Q1,S92000003,d,S08000030,Melanoma,"",2,"",3,""
353,2012Q1,S92000003,d,S08000030,Ovarian,"",252,"",240,""
354,2012Q1,S92000003,d,S08000030,Upper GI,"",39,"",34,""
355,2012Q1,S92000003,d,S08000030,Urological,"",219,"",204,""
356,2012Q1,S92000003,d,S08000030,All Cancer Types,d,137,"",124,""
357,2012Q1,S92000003,d,S08000031,Breast,"",126,"",120,""
358,2012Q1,S92000003,d,S08000031,Cervical,"",39,"",34,""
359,2012Q1,S92000003,d,S08000031,Colorectal,"",13,"",398,""
360,2012Q1,S92000003,d,S08000031,Head & Neck,"",257,"",238,""
361,2012Q1,S92000003,d,S08000031,Lung,"",61,"",39,""
362,2012Q1,S92000003,d,S08000031,Lymphoma,"",91,"",88,""
363,2012Q1,S92000003,d,S08000031,Melanoma,"",198,"",187,""
364,2012Q1,S92000003,d,S08000031,Ovarian,"",70,"",56,""
365,2012Q1,S92000003,d,S08000031,Upper GI,"",24,"",11,""
366,2012Q1,S92000003,d,S08000031,Urological,"",401,"",389,""
367,2012Q1,S92000003,d,S08000031,All Cancer Types,d,366,"",352,""
368,2012Q1,S92000003,d,S08000032,Breast,"",306,"",297,""
369,2012Q1,S92000003,d,S08000032,Cervical,"",203,"",109,""
370,2012Q1,S92000003,d,S08000032,Colorectal,"",265,"",250,""
371,2012Q1,S92000003,d,S08000032,Head & Neck,"",252,"",240,""
372,2012Q1,S92000003,d,S08000032,Lung,"",219,"",217,""
373,2012Q1,S92000003,d,S08000032,Lymphoma,"",252,"",240,""
374,2012Q1,S92000003,d,S08000032,Melanoma,"",39,"",34,""
375,2012Q1,S92000003,d,S08000032,Ovarian,"",113,"",109,""
376,2012Q1,S92000003,d,S08000032,Upper GI,"",145,"",132,""
377,2012Q1,S92000003,d,S08000032,Urological,"",257,"",234,""
378,2012Q1,S92000003,d,S08000032,All Cancer Types,d,138,"",128,""
379,2012Q1,S92000003,d,SB0801,Lung,"",166,"",143,""
380,2012Q1,S92000003,d,SB0801,Upper GI,"",1,"",2,""
381,2012Q1,S92000003,d,SB0801,All Cancer Types,d,175,"",153,""
382,2012Q2,S08000015,"",S08000015,Breast,"",341,"",332,""
383,2012Q2,S08000015,"",S08000015,Cervical,"",203,"",203,""
384,2012Q2,S08000015,"",S08000015,Colorectal,"",219,"",204,""
