_id,HBR,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,DeathsAgeUnder5,DeathsAge5To9,DeathsAge10To14,DeathsAge15To19,DeathsAge20To24,DeathsAge25To29,DeathsAge30To34,DeathsAge35To39,DeathsAge40To44,DeathsAge45To49,DeathsAge50To54,DeathsAge55To59,DeathsAge60To64,DeathsAge65To69,DeathsAge70To74,DeathsAge75To79,DeathsAge80To84,DeathsAge85To89,DeathsAge90AndOver,DeathsAllAges,MortalityRateAgeUnder5,MortalityRateAge5To9,MortalityRateAge10To14,MortalityRateAge15To19,MortalityRateAge20To24,MortalityRateAge25To29,MortalityRateAge30To34,MortalityRateAge35To39,MortalityRateAge40To44,MortalityRateAge45To49,MortalityRateAge50To54,MortalityRateAge55To59,MortalityRateAge60To64,MortalityRateAge65To69,MortalityRateAge70To74,MortalityRateAge75To79,MortalityRateAge80To84,MortalityRateAge85To89,MortalityRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedMortalityRatio,SMRLower95pcConfidenceInterval,SMRUpper95pcConfidenceInterval
11,S08000015,C40-C41,Bone and articular cartilage,Male, ,2014-2018,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,3,0,1,0,8,0,0,0,0,0,2.014829142,0,2.185075931,0,0,0,1.519156564,0,1.674789395,0,8.720676725,0,9.124087591,0,0.901160695,0.389057226,1.775645819,0.95039204, ,z, ,z,0.522620637, ,z, ,z,105.1844406,45.41117569,207.2552801
12,S08000015,C40-C41,Bone and articular cartilage,Female, ,2014-2018,0,0,0,0,0,0,0,0,1,2,1,0,0,0,3,1,2,1,0,11,0,0,0,0,0,0,0,0,1.697475853,2.755238397,1.310598813,0,0,0,5.498432947,2.393604289,6.427561383,5.437442227,0,1.140338328,0.569252785,2.040380263,1.016348401, ,z, ,z,0.515595868, ,z, ,z,199.829926,99.75437909,357.5509364
13,S08000015,"ICD-10 C40-C41, C47+C49",Bone and connective tissue,All,d,2014-2018,1,0,1,1,0,1,0,1,1,3,2,2,5,6,5,8,3,6,1,47,1.076159831,0,1.02724247,0.97374776,0,0.986271106,0,1.027158059,0.899701299,2.195277227,1.374400418,1.461892127,4.001632666,4.824935265,4.868643985,10.5015818,5.593466831,20.44223365,6.299609424,2.537290066,1.864305304,3.374057901,2.488086277,1.813568609, ,3.267599176, ,1.400862341,0.932308255, ,1.963296963, ,111.6326317,82.02345892,148.4477349
14,S08000015,"ICD-10 C40-C41, C47+C49",Bone and connective tissue,Male, ,2014-2018,1,0,0,0,0,1,0,1,0,1,1,2,3,4,1,5,1,4,1,26,2.090432092,0,0,0,0,2.014829142,0,2.185075931,0,1.560841606,1.444731786,3.038313129,5.016890197,6.699157581,2.077404076,14.53446121,4.440891731,36.49635036,21.69197397,2.928772259,1.913171276,4.291329942,3.016350178,1.947500097, ,4.315277408, ,1.601875026,0.911590898, ,2.483538987, ,108.4924142,70.87084697,158.966524
15,S08000015,"ICD-10 C40-C41, C47+C49",Bone and connective tissue,Female, ,2014-2018,0,0,1,1,0,0,0,0,1,2,1,0,2,2,4,3,2,2,0,21,0,0,2.084245191,1.996406468,0,0,0,0,1.697475853,2.755238397,1.310598813,0,3.069791715,3.093820094,7.331243929,7.180812868,6.427561383,10.87488445,0,2.177009535,1.347603215,3.327790329,1.959822376,1.209289691, ,2.888618007, ,1.199849657,0.628326589, ,1.953152765, ,115.7817372,71.6707202,176.9846843
16,S08000015,ICD-10 C47+C49,Connective tissue,All,d,2014-2018,1,0,1,1,0,0,0,0,0,1,1,1,5,5,2,4,1,4,1,28,1.076159831,0,1.02724247,0.97374776,0,0,0,0,0,0.731759076,0.687200209,0.730946063,4.001632666,4.020779388,1.947457594,5.2507909,1.864488944,13.62815577,6.299609424,1.511577061,1.004431979,2.184649716,1.504716057,0.987222383, ,2.129526717, ,0.881754089,0.506195813, ,1.35982196, ,96.5783132,64.17558774,139.5825525
17,S08000015,ICD-10 C47+C49,Connective tissue,Male, ,2014-2018,1,0,0,0,0,0,0,0,0,1,1,1,3,3,1,2,1,3,1,18,2.090432092,0,0,0,0,0,0,0,0,1.560841606,1.444731786,1.519156564,5.016890197,5.024368186,2.077404076,5.813784483,4.440891731,27.37226277,21.69197397,2.027611564,1.201691116,3.204500427,2.065958138, ,z, ,z,1.079254389, ,z, ,z,110.0303583,65.21096367,173.895403
18,S08000015,ICD-10 C47+C49,Connective tissue,Female, ,2014-2018,0,0,1,1,0,0,0,0,0,0,0,0,2,2,1,2,0,1,0,10,0,0,2.084245191,1.996406468,0,0,0,0,0,0,0,0,3.069791715,3.093820094,1.832810982,4.787208579,0,5.437442227,0,1.036671207,0.497124139,1.90647526,0.943473975, ,z, ,z,0.684253789, ,z, ,z,79.1584226,37.9595405,145.5751575
19,S08000015,C71,Malignant brain cancer,All,d,2014-2018,1,3,1,0,1,2,4,2,8,4,9,16,17,23,21,20,12,4,3,151,1.076159831,2.998440811,1.02724247,0,0.941105611,1.972542212,4.116327413,2.054316118,7.197610393,2.927036303,6.18480188,11.69513702,13.60555106,18.49558518,20.44830474,26.2539545,22.37386732,13.62815577,18.89882827,8.151719149,6.903385159,9.56055395,7.891700861,6.662929761, ,9.222921628, ,4.538762848,3.708849675, ,5.451217472, ,100.6991668,85.27834693,118.1026725
20,S08000015,C71,Malignant brain cancer,Male, ,2014-2018,1,1,1,0,1,0,3,2,2,2,3,11,12,16,11,14,7,4,2,93,2.090432092,1.958058389,2.0255626,0,1.845188671,0,6.551935005,4.370151863,3.828703792,3.121683212,4.334195357,16.71072221,20.06756079,26.79663032,22.85144483,40.69649138,31.08624212,36.49635036,43.38394794,10.47599308,8.455478463,12.83379927,10.24897719,8.237426732, ,12.47697669, ,5.552765096,4.282312816, ,6.985738263, ,108.6043346,87.65771463,133.0476471
21,S08000015,C71,Malignant brain cancer,Female, ,2014-2018,0,2,0,0,0,2,1,0,6,2,6,5,5,7,10,6,5,0,1,58,0,4.083215941,0,0,0,3.863987635,1.946055346,0,10.18485512,2.755238397,7.863592876,7.043940098,7.674479287,10.82837033,18.32810982,14.36162574,16.06890346,0,8.877840909,6.012693002,4.565689882,7.772800002,5.534424528,4.193249732, ,7.058844971, ,3.5247606,2.51210868, ,4.706228853, ,90.17462428,68.47337284,116.5716127
22,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",All,d,2014-2018,1,3,1,0,1,2,4,2,8,4,9,16,17,23,22,20,13,4,3,153,1.076159831,2.998440811,1.02724247,0,0.941105611,1.972542212,4.116327413,2.054316118,7.197610393,2.927036303,6.18480188,11.69513702,13.60555106,18.49558518,21.42203354,26.2539545,24.23835627,13.62815577,18.89882827,8.259688939,7.002768089,9.677083094,7.993032282,6.756473715, ,9.331969661, ,4.568193187,3.737091759, ,5.481495187, ,100.0889856,84.85791163,117.2646376
23,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",Male, ,2014-2018,1,1,1,0,1,0,3,2,2,2,3,11,12,16,11,14,8,4,2,94,2.090432092,1.958058389,2.0255626,0,1.845188671,0,6.551935005,4.370151863,3.828703792,3.121683212,4.334195357,16.71072221,20.06756079,26.79663032,22.85144483,40.69649138,35.52713385,36.49635036,43.38394794,10.58863817,8.556697471,12.95781146,10.35999949,8.337275688, ,12.59910667, ,5.574969554,4.303566771, ,7.008414537, ,108.0743147,87.33504729,132.2555904
24,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",Female, ,2014-2018,0,2,0,0,0,2,1,0,6,2,6,5,5,7,11,6,5,0,1,59,0,4.083215941,0,0,0,3.863987635,1.946055346,0,10.18485512,2.755238397,7.863592876,7.043940098,7.674479287,10.82837033,20.1609208,14.36162574,16.06890346,0,8.877840909,6.116360123,4.656056713,7.889658931,5.626065077,4.273594244, ,7.161624814, ,3.56141682,2.545876243, ,4.744754662, ,89.54754736,68.16774203,115.5098118
25,S08000015,C50,Breast,All,d,2014-2018,0,0,0,0,0,1,2,6,10,9,23,27,27,35,47,48,49,63,44,391,0,0,0,0,0,0.986271106,2.058163706,6.162948354,8.997012992,6.585831681,15.8056048,19.73554371,21.6088164,28.14545572,45.76525346,63.0094908,91.35995824,214.6434534,277.1828147,21.10809396,19.06745908,23.3076332,17.66707508,15.94501664, ,19.47616607, ,7.327765875,6.479049304, ,8.227962072, ,102.4506824,92.5462147,113.1264117
26,S08000015,C50,Breast,Male, ,2014-2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1.914351896,0,0,0,0,0,0,2.906892242,0,0,21.69197397,0.337935261,0.069690375,0.987590237,0.467200062, ,z, ,z,0.176043074, ,z, ,z,102.1483357,21.06544257,298.5207842
27,S08000015,C50,Breast,Female, ,2014-2018,0,0,0,0,0,1,2,6,9,9,23,27,27,35,47,47,49,63,43,388,0,0,0,0,0,1.931993818,3.892110692,11.62993545,15.27728268,12.39857279,30.14377269,38.03727653,41.44218815,54.14185165,86.14211616,112.4994016,157.4752539,342.5588603,381.7471591,40.22284284,36.31966064,44.43118842,34.8669501,31.46482632, ,38.44120541, ,14.47948868,12.7983167, ,16.26290066, ,102.4530272,92.51109356,113.1722532
28,S08000015,C18-C20,Colorectal cancer,All,d,2014-2018,0,0,0,0,1,0,0,3,3,18,20,25,33,80,81,108,116,76,56,620,0,0,0,0,0.941105611,0,0,3.081474177,2.699103898,13.17166336,13.74400418,18.27365159,26.4107756,64.33247021,78.87203256,141.7713543,216.2807175,258.9349596,352.7781278,33.47063492,30.88752449,36.21210642,32.02109804,29.4718301, ,34.67459939, ,11.34198677,10.34729589, ,12.38167365, ,97.25860199,89.75262817,105.2247397
29,S08000015,C18-C20,Colorectal cancer,Male, ,2014-2018,0,0,0,0,1,0,0,1,1,8,10,11,20,53,55,60,64,28,23,335,0,0,0,0,1.845188671,0,0,2.185075931,1.914351896,12.48673285,14.44731786,16.71072221,33.44593465,88.76383795,114.2572242,174.4135345,284.2170708,255.4744526,498.9154013,37.7361041,33.80288778,42.00133232,38.87411909,34.69400507, ,43.2885627, ,13.62246215,12.0672596, ,15.27056287, ,98.42482252,88.16604971,109.5495621
30,S08000015,C18-C20,Colorectal cancer,Female, ,2014-2018,0,0,0,0,0,0,0,2,2,10,10,14,13,27,26,48,52,48,33,285,0,0,0,0,0,0,0,3.876645151,3.394951707,13.77619199,13.10598813,19.72303228,19.95364615,41.76657127,47.65308554,114.8930059,167.116596,260.9972269,292.96875,29.54512941,26.21421073,33.18205729,25.16807699,22.32063015, ,28.18398435, ,9.061511376,7.85053925, ,10.35807357, ,95.92263086,85.10831089,107.7304549
31,S08000015,C18,Colon,All,d,2014-2018,0,0,0,0,0,0,0,3,2,11,10,13,18,39,44,68,73,45,36,362,0,0,0,0,0,0,0,3.081474177,1.799402598,8.049349832,6.872002089,9.502298825,14.4058776,31.36207923,42.84406707,89.26344531,136.1076929,153.3167524,226.7859393,19.542532,17.58099838,21.66307345,18.89787442,16.93460165, ,20.96726824, ,6.44963699,5.710215502, ,7.233424727, ,96.21224776,86.55517986,106.6521467
32,S08000015,C18,Colon,Male, ,2014-2018,0,0,0,0,0,0,0,1,0,4,6,6,11,26,27,35,39,18,16,189,0,0,0,0,0,0,0,2.185075931,0,6.243366423,8.668390713,9.114939386,18.39526406,43.54452428,56.08991005,101.7412285,173.1947775,164.2335766,347.0715835,21.28992142,18.3627529,24.55106097,22.42614762,19.23522395, ,25.85835281, ,7.442897604,6.326906435, ,8.648200279, ,101.9299799,87.91554446,117.5433719
33,S08000015,C18,Colon,Female, ,2014-2018,0,0,0,0,0,0,0,2,2,7,4,7,7,13,17,33,34,27,20,173,0,0,0,0,0,0,0,3.876645151,3.394951707,9.64333439,5.24239525,9.861516138,10.744271,20.10983061,31.1577867,78.98894155,109.2685435,146.8109401,177.5568182,17.93441189,15.36144744,20.81505578,15.36960122,13.15490543, ,17.75406383, ,5.456376376,4.514623607, ,6.48601704, ,90.65657239,77.65050681,105.2179254
34,S08000015,C19-C20,Rectum and rectosigmoid junction,All,d,2014-2018,0,0,0,0,1,0,0,0,1,7,10,12,15,41,37,40,43,31,20,258,0,0,0,0,0.941105611,0,0,0,0.899701299,5.122313529,6.872002089,8.771352762,12.004898,32.97039098,36.02796549,52.507909,80.17302457,105.6182072,125.9921885,13.92810292,12.28026274,15.73545501,13.12322362,11.53092134, ,14.81701003, ,4.892349775,4.24127512, ,5.589234757, ,98.76570665,87.0806911,111.5818387
35,S08000015,C19-C20,Rectum and rectosigmoid junction,Male, ,2014-2018,0,0,0,0,1,0,0,0,1,4,4,5,9,27,28,25,25,10,7,146,0,0,0,0,1.845188671,0,0,0,1.914351896,6.243366423,5.778927142,7.595782821,15.05067059,45.21931367,58.16731412,72.67230604,111.0222933,91.24087591,151.8438178,16.44618268,13.88672438,19.34069114,16.44797147,13.82353857, ,19.29713051, ,6.17956455,5.12517791, ,7.331114957, ,94.23009129,79.56541233,110.8144745
36,S08000015,C19-C20,Rectum and rectosigmoid junction,Female, ,2014-2018,0,0,0,0,0,0,0,0,0,3,6,7,6,14,9,15,18,21,13,112,0,0,0,0,0,0,0,0,0,4.132857596,7.863592876,9.861516138,9.209375144,21.65674066,16.49529884,35.90406434,57.84805245,114.1862868,115.4119318,11.61071752,9.56022889,13.97071023,9.798475773,8.064652489, ,11.69860106, ,3.605135,2.872203417, ,4.420103217, ,105.3776634,86.76764205,126.7967115
37,S08000015,C53,Cervix uteri,Female, ,2014-2018,0,0,0,0,1,2,1,0,2,2,6,2,2,2,2,3,2,3,2,32,0,0,0,0,1.920749861,3.863987635,1.946055346,0,3.394951707,2.755238397,7.863592876,2.817576039,3.069791715,3.093820094,3.665621964,7.180812868,6.427561383,16.31232668,17.75568182,3.317347863,2.269063483,4.683105378,3.045477072,2.075976028, ,4.197818242, ,1.931603874,1.210257403, ,2.818861123, ,87.25916862,59.68520674,123.1839103
38,S08000015,C54,Corpus uteri,Female, ,2014-2018,0,0,0,0,0,0,0,0,0,1,1,6,4,10,12,13,3,7,10,67,0,0,0,0,0,0,0,0,0,1.377619199,1.310598813,8.452728118,6.139583429,15.46910047,21.99373179,31.11685576,9.641342075,38.06209559,88.77840909,6.945697089,5.382819842,8.82078978,6.000888017,4.648775316, ,7.522974976, ,2.281832046,1.715406425, ,2.927827924, ,95.48521179,73.99972761,121.2628437
39,S08000015,C56,Ovary,Female, ,2014-2018,0,0,1,0,0,0,1,0,1,6,12,12,13,18,31,24,18,12,9,158,0,0,2.084245191,0,0,0,1.946055346,0,1.697475853,8.265715191,15.72718575,16.90545624,19.95364615,27.84438085,56.81714045,57.44650294,57.84805245,65.24930673,79.90056818,16.37940508,13.92498428,19.14185487,14.22963156,12.09177638, ,16.53894393, ,6.352311585,5.255468564, ,7.551562369, ,107.6313508,91.50301006,125.7837929
40,S08000015,C53-C55,Uterus,Female, ,2014-2018,0,0,0,0,1,2,1,0,2,3,8,9,8,20,18,20,14,14,15,135,0,0,0,0,1.920749861,3.863987635,1.946055346,0,3.394951707,4.132857596,10.4847905,12.67909218,12.27916686,30.93820094,32.99059768,47.87208579,44.99292968,76.12419118,133.1676136,13.9950613,11.7339468,16.56484881,12.15972745,10.18770441, ,14.30363805, ,5.334380584,4.29926875, ,6.479468689, ,107.9095007,90.47508353,127.7239539
41,S08000015,C52,Vagina,Female, ,2014-2018,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,3,1,0,11,0,0,0,0,0,0,0,0,1.697475853,0,0,0,0,1.546910047,5.498432947,4.787208579,9.641342075,5.437442227,0,1.140338328,0.569252785,2.040380263,0.992908538, ,z, ,z,0.371163871, ,z, ,z,218.5841869,109.1164385,391.1074895
42,S08000015,C51,Vulva,Female, ,2014-2018,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,3,4,1,4,22,0,0,0,0,0,0,0,0,0,0,0,1.40878802,0,3.093820094,12.82967688,7.180812868,12.85512277,5.437442227,35.51136364,2.280676656,1.429287918,3.452971865,1.948501024,1.22005594, ,2.844719429, ,0.626146219,0.374764153, ,0.940998326, ,129.1592971,80.94344384,195.548728
43,S08000015,"C00-C14, C30-C32",Head and neck,All,d,2014-2018,0,0,0,0,0,0,0,0,0,8,13,11,29,38,30,28,29,13,9,208,0,0,0,0,0,0,0,0,0,5.854072605,8.933602716,8.040406698,23.20946946,30.55792335,29.21186391,36.7555363,54.07017936,44.29150625,56.69648482,11.22885817,9.754624308,12.86297088,10.59611445,9.182305905, ,12.10967662, ,4.573850217,3.920237756, ,5.277117598, ,112.1725375,97.44543437,128.496777
44,S08000015,"C00-C14, C30-C32",Head and neck,Male, ,2014-2018,0,0,0,0,0,0,0,0,0,8,5,5,18,30,19,18,20,10,3,136,0,0,0,0,0,0,0,0,0,12.48673285,7.223658928,7.595782821,30.10134118,50.24368186,39.47067744,52.32406035,88.81783462,91.24087591,65.07592191,15.31973181,12.85330718,18.12152768,14.74925079,12.33606983, ,17.37481139, ,6.299795151,5.205439418, ,7.497006587, ,104.091102,87.33278913,123.1281205
45,S08000015,"C00-C14, C30-C32",Head and neck,Female, ,2014-2018,0,0,0,0,0,0,0,0,0,0,8,6,11,8,11,10,9,3,6,72,0,0,0,0,0,0,0,0,0,0,10.4847905,8.452728118,16.88385443,12.37528038,20.1609208,23.93604289,28.92402622,16.31232668,53.26704545,7.464032692,5.84014589,9.399713883,6.442978116,5.03931774, ,8.016477056, ,2.847905283,2.167901376, ,3.619253236, ,131.4495862,102.8512056,165.538999
46,S08000015,C32,Larynx,All,d,2014-2018,0,0,0,0,0,0,0,0,0,2,0,0,5,7,5,5,12,3,3,42,0,0,0,0,0,0,0,0,0,1.463518151,0,0,4.001632666,5.629091143,4.868643985,6.563488625,22.37386732,10.22111683,18.89882827,2.267365591,1.634117683,3.064819598,2.311339073,1.647751417, ,3.085461001, ,0.820515826,0.567544459, ,1.119380142, ,92.32210393,66.53765197,124.7926645
47,S08000015,C32,Larynx,Male, ,2014-2018,0,0,0,0,0,0,0,0,0,2,0,0,3,7,5,5,9,3,2,36,0,0,0,0,0,0,0,0,0,3.121683212,0,0,5.016890197,11.72352577,10.38702038,14.53446121,39.96802558,27.37226277,43.38394794,4.055223127,2.840228424,5.61413814,4.108678682,2.845672445, ,5.599995471, ,1.453172711,0.978362306, ,2.020422769, ,100.3275487,70.26818166,138.8956168
48,S08000015,C32,Larynx,Female, ,2014-2018,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3.069791715,0,0,0,9.641342075,0,8.877840909,0.622002724,0.228264037,1.35383807,0.513999464, ,z, ,z,0.187858942, ,z, ,z,62.43217054,22.91150626,135.8885516
49,S08000015,C00-C14,"Lip, oral cavity and pharynx",All,d,2014-2018,0,0,0,0,0,0,0,0,0,6,11,11,24,26,23,20,16,10,6,153,0,0,0,0,0,0,0,0,0,4.390554454,7.559202298,8.040406698,19.2078368,20.90805282,22.39576233,26.2539545,29.8318231,34.07038942,37.79765655,8.259688939,7.002768089,9.677083094,7.671858807,6.491076768, ,8.949856324, ,3.477978588,2.904589445, ,4.102253103, ,114.6928279,97.2394095,134.374555
50,S08000015,C00-C14,"Lip, oral cavity and pharynx",Male, ,2014-2018,0,0,0,0,0,0,0,0,0,6,5,5,15,20,12,12,11,7,1,94,0,0,0,0,0,0,0,0,0,9.365049635,7.223658928,7.595782821,25.08445098,33.4957879,24.92884891,34.8827069,48.84980904,63.86861314,21.69197397,10.58863817,8.556697471,12.95781146,10.04021576,8.092172213, ,12.19520259, ,4.583726309,3.640275451, ,5.634248791, ,103.7820816,83.8664861,127.0029843
51,S08000015,C00-C14,"Lip, oral cavity and pharynx",Female, ,2014-2018,0,0,0,0,0,0,0,0,0,0,6,6,9,6,11,8,5,3,5,59,0,0,0,0,0,0,0,0,0,0,7.863592876,8.452728118,13.81406272,9.281460283,20.1609208,19.14883431,16.06890346,16.31232668,44.38920455,6.116360123,4.656056713,7.889658931,5.303501852,4.035793292, ,6.741708644, ,2.372230867,1.75561546, ,3.080221144, ,137.7687227,104.8759349,177.7116147
52,S08000015,C03-C06,Mouth (IARC definition),All,d,2014-2018,0,0,0,0,0,0,0,0,0,2,1,1,7,5,3,5,3,5,0,32,0,0,0,0,0,0,0,0,0,1.463518151,0.687200209,0.730946063,5.602285733,4.020779388,2.921186391,6.563488625,5.593466831,17.03519471,0,1.727516641,1.181620104,2.438738053,1.592797054,1.085040627, ,2.196473961, ,0.719886976,0.470181769, ,1.021929858, ,125.7873926,86.03848342,177.5742669
