_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
29,2012Q1,S08000015,S92000003,d,Head & Neck,"",121,"",114,""
30,2012Q1,S08000015,S92000003,d,Lung,"",522,"",515,""
31,2012Q1,S08000015,S92000003,d,Lymphoma,"",209,"",210,""
32,2012Q1,S08000015,S92000003,d,Melanoma,"",121,"",129,""
33,2012Q1,S08000015,S92000003,d,Ovarian,"",24,"",25,""
34,2012Q1,S08000015,S92000003,d,Upper GI,"",370,"",365,""
35,2012Q1,S08000015,S92000003,d,Urological,"",504,"",490,""
36,2012Q1,S08000015,S92000003,d,All Cancer Types,d,354,"",351,""
37,2012Q1,S08000015,SB0801,"",Lung,"",483,"",479,""
38,2012Q1,S08000015,SB0801,"",All Cancer Types,d,483,"",479,""
39,2012Q1,S08000016,S08000016,"",Breast,"",105,"",114,""
40,2012Q1,S08000016,S08000016,"",Cervical,"",1,"",2,""
41,2012Q1,S08000016,S08000016,"",Colorectal,"",137,"",140,""
42,2012Q1,S08000016,S08000016,"",Head & Neck,"",157,"",158,""
43,2012Q1,S08000016,S08000016,"",Lung,"",148,"",150,""
44,2012Q1,S08000016,S08000016,"",Lymphoma,"",511,"",504,""
45,2012Q1,S08000016,S08000016,"",Melanoma,"",260,"",265,""
46,2012Q1,S08000016,S08000016,"",Ovarian,"",260,"",265,""
47,2012Q1,S08000016,S08000016,"",Upper GI,"",2,"",3,""
48,2012Q1,S08000016,S08000016,"",Urological,"",167,"",168,""
49,2012Q1,S08000016,S08000016,"",All Cancer Types,d,3,"",4,""
50,2012Q1,S08000016,S08000024,"",Breast,"",1,"",2,""
51,2012Q1,S08000016,S08000024,"",Colorectal,"",157,"",158,""
52,2012Q1,S08000016,S08000024,"",Head & Neck,"",157,"",158,""
53,2012Q1,S08000016,S08000024,"",Lung,"",483,"",479,""
54,2012Q1,S08000016,S08000024,"",Melanoma,"",1,"",2,""
55,2012Q1,S08000016,S08000024,"",Ovarian,"",1,"",2,""
56,2012Q1,S08000016,S08000024,"",Upper GI,"",157,"",158,""
57,2012Q1,S08000016,S08000024,"",Urological,"",260,"",265,""
58,2012Q1,S08000016,S08000024,"",All Cancer Types,d,137,"",140,""
59,2012Q1,S08000016,S92000003,d,Breast,"",121,"",129,""
60,2012Q1,S08000016,S92000003,d,Cervical,"",1,"",2,""
61,2012Q1,S08000016,S92000003,d,Colorectal,"",158,"",159,""
62,2012Q1,S08000016,S92000003,d,Head & Neck,"",352,"",353,""
63,2012Q1,S08000016,S92000003,d,Lung,"",209,"",210,""
64,2012Q1,S08000016,S92000003,d,Lymphoma,"",511,"",504,""
65,2012Q1,S08000016,S92000003,d,Melanoma,"",352,"",353,""
66,2012Q1,S08000016,S92000003,d,Ovarian,"",352,"",353,""
67,2012Q1,S08000016,S92000003,d,Upper GI,"",24,"",25,""
68,2012Q1,S08000016,S92000003,d,Urological,"",198,"",199,""
69,2012Q1,S08000016,S92000003,d,All Cancer Types,d,22,"",23,""
70,2012Q1,S08000017,S08000017,"",Breast,"",158,"",159,""
71,2012Q1,S08000017,S08000017,"",Colorectal,"",292,"",277,""
72,2012Q1,S08000017,S08000017,"",Head & Neck,"",260,"",265,""
73,2012Q1,S08000017,S08000017,"",Lung,"",121,"",129,""
74,2012Q1,S08000017,S08000017,"",Lymphoma,"",2,"",3,""
75,2012Q1,S08000017,S08000017,"",Melanoma,"",352,"",353,""
76,2012Q1,S08000017,S08000017,"",Ovarian,"",352,"",353,""
77,2012Q1,S08000017,S08000017,"",Upper GI,"",137,"",140,""
78,2012Q1,S08000017,S08000017,"",Urological,"",250,"",254,""
79,2012Q1,S08000017,S08000017,"",All Cancer Types,d,50,"",53,""
80,2012Q1,S08000017,S08000024,"",Breast,"",260,"",265,""
81,2012Q1,S08000017,S08000024,"",Cervical,"",1,"",2,""
82,2012Q1,S08000017,S08000024,"",Head & Neck,"",260,"",265,""
83,2012Q1,S08000017,S08000024,"",Lung,"",260,"",265,""
84,2012Q1,S08000017,S08000024,"",Melanoma,"",1,"",2,""
85,2012Q1,S08000017,S08000024,"",Ovarian,"",1,"",2,""
86,2012Q1,S08000017,S08000024,"",Upper GI,"",423,"",424,""
87,2012Q1,S08000017,S08000024,"",Urological,"",53,"",38,""
88,2012Q1,S08000017,S08000024,"",All Cancer Types,d,272,"",266,""
89,2012Q1,S08000017,S08000031,"",Colorectal,"",1,"",2,""
90,2012Q1,S08000017,S08000031,"",Head & Neck,"",157,"",158,""
91,2012Q1,S08000017,S08000031,"",All Cancer Types,d,260,"",265,""
92,2012Q1,S08000017,S92000003,d,Breast,"",188,"",190,""
93,2012Q1,S08000017,S92000003,d,Cervical,"",1,"",2,""
94,2012Q1,S08000017,S92000003,d,Colorectal,"",300,"",288,""
95,2012Q1,S08000017,S92000003,d,Head & Neck,"",538,"",527,""
96,2012Q1,S08000017,S92000003,d,Lung,"",177,"",179,""
97,2012Q1,S08000017,S92000003,d,Lymphoma,"",2,"",3,""
98,2012Q1,S08000017,S92000003,d,Melanoma,"",423,"",424,""
99,2012Q1,S08000017,S92000003,d,Ovarian,"",423,"",424,""
100,2012Q1,S08000017,S92000003,d,Upper GI,"",188,"",190,""
101,2012Q1,S08000017,S92000003,d,Urological,"",376,"",365,""
102,2012Q1,S08000017,S92000003,d,All Cancer Types,d,130,"",131,""
103,2012Q1,S08000017,SB0801,"",Lung,"",157,"",158,""
104,2012Q1,S08000017,SB0801,"",All Cancer Types,d,157,"",158,""
105,2012Q1,S08000019,S08000019,"",Breast,"",359,"",354,""
106,2012Q1,S08000019,S08000019,"",Cervical,"",1,"",2,""
107,2012Q1,S08000019,S08000019,"",Colorectal,"",376,"",365,""
108,2012Q1,S08000019,S08000019,"",Head & Neck,"",260,"",265,""
109,2012Q1,S08000019,S08000019,"",Lung,"",228,"",232,""
110,2012Q1,S08000019,S08000019,"",Lymphoma,"",24,"",25,""
111,2012Q1,S08000019,S08000019,"",Melanoma,"",572,"",562,""
112,2012Q1,S08000019,S08000019,"",Ovarian,"",483,"",479,""
113,2012Q1,S08000019,S08000019,"",Upper GI,"",158,"",159,""
114,2012Q1,S08000019,S08000019,"",Urological,"",500,"",462,""
115,2012Q1,S08000019,S08000019,"",All Cancer Types,d,184,"",175,""
116,2012Q1,S08000019,S08000024,"",Lung,"",1,"",2,""
117,2012Q1,S08000019,S08000024,"",All Cancer Types,d,1,"",2,""
118,2012Q1,S08000019,S08000031,"",Breast,"",157,"",2,""
119,2012Q1,S08000019,S08000031,"",Cervical,"",1,"",1,""
120,2012Q1,S08000019,S08000031,"",Colorectal,"",260,"",265,""
121,2012Q1,S08000019,S08000031,"",Head & Neck,"",511,"",504,""
122,2012Q1,S08000019,S08000031,"",Lung,"",177,"",168,""
123,2012Q1,S08000019,S08000031,"",Ovarian,"",260,"",265,""
124,2012Q1,S08000019,S08000031,"",Upper GI,"",538,"",527,""
125,2012Q1,S08000019,S08000031,"",Urological,"",1,"",2,""
126,2012Q1,S08000019,S08000031,"",All Cancer Types,d,400,"",375,""
127,2012Q1,S08000019,S92000003,d,Breast,"",376,"",357,""
128,2012Q1,S08000019,S92000003,d,Cervical,"",157,"",2,""
129,2012Q1,S08000019,S92000003,d,Colorectal,"",394,"",382,""
130,2012Q1,S08000019,S92000003,d,Head & Neck,"",2,"",3,""
131,2012Q1,S08000019,S92000003,d,Lung,"",467,"",459,""
132,2012Q1,S08000019,S92000003,d,Lymphoma,"",24,"",25,""
133,2012Q1,S08000019,S92000003,d,Melanoma,"",572,"",562,""
134,2012Q1,S08000019,S92000003,d,Ovarian,"",572,"",562,""
135,2012Q1,S08000019,S92000003,d,Upper GI,"",239,"",243,""
136,2012Q1,S08000019,S92000003,d,Urological,"",501,"",470,""
137,2012Q1,S08000019,S92000003,d,All Cancer Types,d,240,"",229,""
138,2012Q1,S08000019,SB0801,"",Lung,"",483,"",479,""
139,2012Q1,S08000019,SB0801,"",All Cancer Types,d,483,"",479,""
140,2012Q1,S08000020,S08000020,"",Breast,"",27,"",23,""
141,2012Q1,S08000020,S08000020,"",Cervical,"",352,"",353,""
142,2012Q1,S08000020,S08000020,"",Colorectal,"",522,"",513,""
143,2012Q1,S08000020,S08000020,"",Head & Neck,"",188,"",190,""
144,2012Q1,S08000020,S08000020,"",Lung,"",508,"",498,""
145,2012Q1,S08000020,S08000020,"",Lymphoma,"",483,"",479,""
146,2012Q1,S08000020,S08000020,"",Melanoma,"",218,"",221,""
147,2012Q1,S08000020,S08000020,"",Ovarian,"",572,"",562,""
148,2012Q1,S08000020,S08000020,"",Upper GI,"",461,"",455,""
149,2012Q1,S08000020,S08000020,"",Urological,"",19,"",9,""
150,2012Q1,S08000020,S08000020,"",All Cancer Types,d,426,"",414,""
151,2012Q1,S08000020,S08000024,"",Urological,"",157,"",158,""
152,2012Q1,S08000020,S08000024,"",All Cancer Types,d,157,"",158,""
153,2012Q1,S08000020,S92000003,d,Breast,"",27,"",23,""
154,2012Q1,S08000020,S92000003,d,Cervical,"",352,"",353,""
155,2012Q1,S08000020,S92000003,d,Colorectal,"",522,"",513,""
156,2012Q1,S08000020,S92000003,d,Head & Neck,"",188,"",190,""
157,2012Q1,S08000020,S92000003,d,Lung,"",508,"",498,""
158,2012Q1,S08000020,S92000003,d,Lymphoma,"",483,"",479,""
159,2012Q1,S08000020,S92000003,d,Melanoma,"",218,"",221,""
160,2012Q1,S08000020,S92000003,d,Ovarian,"",572,"",562,""
161,2012Q1,S08000020,S92000003,d,Upper GI,"",461,"",455,""
162,2012Q1,S08000020,S92000003,d,Urological,"",21,"",11,""
163,2012Q1,S08000020,S92000003,d,All Cancer Types,d,427,"",416,""
164,2012Q1,S08000022,S08000020,"",Head & Neck,"",1,"",2,""
165,2012Q1,S08000022,S08000020,"",Ovarian,"",1,"",2,""
166,2012Q1,S08000022,S08000020,"",All Cancer Types,d,157,"",158,""
167,2012Q1,S08000022,S08000022,"",Breast,"",474,"",474,""
168,2012Q1,S08000022,S08000022,"",Cervical,"",260,"",265,""
169,2012Q1,S08000022,S08000022,"",Colorectal,"",337,"",323,""
170,2012Q1,S08000022,S08000022,"",Head & Neck,"",35,"",25,""
171,2012Q1,S08000022,S08000022,"",Lung,"",376,"",369,""
172,2012Q1,S08000022,S08000022,"",Lymphoma,"",81,"",97,""
173,2012Q1,S08000022,S08000022,"",Melanoma,"",53,"",68,""
174,2012Q1,S08000022,S08000022,"",Ovarian,"",352,"",353,""
175,2012Q1,S08000022,S08000022,"",Upper GI,"",300,"",307,""
176,2012Q1,S08000022,S08000022,"",Urological,"",394,"",369,""
177,2012Q1,S08000022,S08000022,"",All Cancer Types,d,226,"",224,""
178,2012Q1,S08000022,S08000024,"",Breast,"",1,"",2,""
179,2012Q1,S08000022,S08000024,"",Melanoma,"",1,"",2,""
180,2012Q1,S08000022,S08000024,"",Urological,"",1,"",2,""
181,2012Q1,S08000022,S08000024,"",All Cancer Types,d,260,"",265,""
182,2012Q1,S08000022,S08000031,"",Lung,"",352,"",353,""
183,2012Q1,S08000022,S08000031,"",Upper GI,"",260,"",265,""
184,2012Q1,S08000022,S08000031,"",Urological,"",538,"",527,""
185,2012Q1,S08000022,S08000031,"",All Cancer Types,d,81,"",97,""
186,2012Q1,S08000022,S92000003,d,Breast,"",478,"",476,""
187,2012Q1,S08000022,S92000003,d,Cervical,"",260,"",265,""
188,2012Q1,S08000022,S92000003,d,Colorectal,"",337,"",323,""
189,2012Q1,S08000022,S92000003,d,Head & Neck,"",53,"",38,""
190,2012Q1,S08000022,S92000003,d,Lung,"",405,"",408,""
191,2012Q1,S08000022,S92000003,d,Lymphoma,"",81,"",97,""
192,2012Q1,S08000022,S92000003,d,Melanoma,"",81,"",97,""
193,2012Q1,S08000022,S92000003,d,Ovarian,"",423,"",424,""
194,2012Q1,S08000022,S92000003,d,Upper GI,"",330,"",329,""
195,2012Q1,S08000022,S92000003,d,Urological,"",461,"",441,""
196,2012Q1,S08000022,S92000003,d,All Cancer Types,d,249,"",247,""
197,2012Q1,S08000022,SB0801,"",Lung,"",1,"",2,""
198,2012Q1,S08000022,SB0801,"",All Cancer Types,d,1,"",2,""
199,2012Q1,S08000024,S08000016,"",Breast,"",352,"",353,""
200,2012Q1,S08000024,S08000016,"",All Cancer Types,d,352,"",353,""
201,2012Q1,S08000024,S08000019,"",Breast,"",1,"",2,""
202,2012Q1,S08000024,S08000019,"",All Cancer Types,d,1,"",2,""
203,2012Q1,S08000024,S08000024,"",Breast,"",168,"",169,""
204,2012Q1,S08000024,S08000024,"",Cervical,"",483,"",479,""
205,2012Q1,S08000024,S08000024,"",Colorectal,"",52,"",49,""
206,2012Q1,S08000024,S08000024,"",Head & Neck,"",359,"",357,""
207,2012Q1,S08000024,S08000024,"",Lung,"",131,"",135,""
208,2012Q1,S08000024,S08000024,"",Lymphoma,"",300,"",307,""
209,2012Q1,S08000024,S08000024,"",Melanoma,"",424,"",425,""
210,2012Q1,S08000024,S08000024,"",Ovarian,"",167,"",150,""
211,2012Q1,S08000024,S08000024,"",Upper GI,"",431,"",433,""
212,2012Q1,S08000024,S08000024,"",Urological,"",154,"",153,""
213,2012Q1,S08000024,S08000024,"",All Cancer Types,d,576,"",567,""
214,2012Q1,S08000024,S08000029,"",Breast,"",260,"",265,""
215,2012Q1,S08000024,S08000029,"",All Cancer Types,d,260,"",265,""
216,2012Q1,S08000024,S08000030,"",Urological,"",1,"",2,""
217,2012Q1,S08000024,S08000030,"",All Cancer Types,d,1,"",2,""
218,2012Q1,S08000024,S92000003,d,Breast,"",176,"",177,""
219,2012Q1,S08000024,S92000003,d,Cervical,"",483,"",479,""
220,2012Q1,S08000024,S92000003,d,Colorectal,"",52,"",49,""
221,2012Q1,S08000024,S92000003,d,Head & Neck,"",359,"",357,""
222,2012Q1,S08000024,S92000003,d,Lung,"",131,"",135,""
223,2012Q1,S08000024,S92000003,d,Lymphoma,"",300,"",307,""
224,2012Q1,S08000024,S92000003,d,Melanoma,"",424,"",425,""
225,2012Q1,S08000024,S92000003,d,Ovarian,"",167,"",150,""
226,2012Q1,S08000024,S92000003,d,Upper GI,"",431,"",433,""
227,2012Q1,S08000024,S92000003,d,Urological,"",155,"",154,""
228,2012Q1,S08000024,S92000003,d,All Cancer Types,d,578,"",569,""
229,2012Q1,S08000025,S08000020,"",Breast,"",1,"",2,""
230,2012Q1,S08000025,S08000020,"",Colorectal,"",157,"",158,""
231,2012Q1,S08000025,S08000020,"",Head & Neck,"",1,"",2,""
232,2012Q1,S08000025,S08000020,"",Upper GI,"",157,"",158,""
233,2012Q1,S08000025,S08000020,"",Urological,"",1,"",2,""
234,2012Q1,S08000025,S08000020,"",All Cancer Types,d,511,"",504,""
235,2012Q1,S08000025,S08000025,"",Colorectal,"",157,"",158,""
236,2012Q1,S08000025,S08000025,"",Urological,"",1,"",2,""
237,2012Q1,S08000025,S08000025,"",All Cancer Types,d,260,"",265,""
238,2012Q1,S08000025,S92000003,d,Breast,"",1,"",2,""
239,2012Q1,S08000025,S92000003,d,Colorectal,"",352,"",353,""
240,2012Q1,S08000025,S92000003,d,Head & Neck,"",1,"",2,""
241,2012Q1,S08000025,S92000003,d,Upper GI,"",157,"",158,""
242,2012Q1,S08000025,S92000003,d,Urological,"",157,"",158,""
243,2012Q1,S08000025,S92000003,d,All Cancer Types,d,2,"",3,""
244,2012Q1,S08000026,S08000020,"",Breast,"",1,"",2,""
245,2012Q1,S08000026,S08000020,"",Colorectal,"",157,"",158,""
246,2012Q1,S08000026,S08000020,"",Head & Neck,"",1,"",2,""
247,2012Q1,S08000026,S08000020,"",Lung,"",157,"",158,""
248,2012Q1,S08000026,S08000020,"",Lymphoma,"",157,"",158,""
249,2012Q1,S08000026,S08000020,"",Upper GI,"",1,"",2,""
250,2012Q1,S08000026,S08000020,"",Urological,"",157,"",158,""
251,2012Q1,S08000026,S08000020,"",All Cancer Types,d,13,"",14,""
252,2012Q1,S08000026,S08000026,"",Breast,"",1,"",2,""
253,2012Q1,S08000026,S08000026,"",Colorectal,"",423,"",424,""
254,2012Q1,S08000026,S08000026,"",Lung,"",260,"",265,""
255,2012Q1,S08000026,S08000026,"",Lymphoma,"",1,"",2,""
256,2012Q1,S08000026,S08000026,"",Melanoma,"",1,"",2,""
257,2012Q1,S08000026,S08000026,"",Upper GI,"",1,"",2,""
258,2012Q1,S08000026,S08000026,"",Urological,"",511,"",504,""
259,2012Q1,S08000026,S08000026,"",All Cancer Types,d,148,"",150,""
260,2012Q1,S08000026,S92000003,d,Breast,"",157,"",158,""
261,2012Q1,S08000026,S92000003,d,Colorectal,"",511,"",504,""
262,2012Q1,S08000026,S92000003,d,Head & Neck,"",1,"",2,""
263,2012Q1,S08000026,S92000003,d,Lung,"",423,"",424,""
264,2012Q1,S08000026,S92000003,d,Lymphoma,"",260,"",265,""
265,2012Q1,S08000026,S92000003,d,Melanoma,"",1,"",2,""
266,2012Q1,S08000026,S92000003,d,Upper GI,"",157,"",158,""
267,2012Q1,S08000026,S92000003,d,Urological,"",572,"",562,""
268,2012Q1,S08000026,S92000003,d,All Cancer Types,d,261,"",266,""
269,2012Q1,S08000028,S08000022,"",Colorectal,"",157,"",158,""
270,2012Q1,S08000028,S08000022,"",Head & Neck,"",1,"",2,""
271,2012Q1,S08000028,S08000022,"",Upper GI,"",1,"",2,""
272,2012Q1,S08000028,S08000022,"",Urological,"",1,"",2,""
273,2012Q1,S08000028,S08000022,"",All Cancer Types,d,423,"",424,""
274,2012Q1,S08000028,S08000028,"",Colorectal,"",423,"",424,""
275,2012Q1,S08000028,S08000028,"",Head & Neck,"",260,"",265,""
276,2012Q1,S08000028,S08000028,"",Lung,"",423,"",424,""
277,2012Q1,S08000028,S08000028,"",Melanoma,"",1,"",2,""
278,2012Q1,S08000028,S08000028,"",Upper GI,"",157,"",158,""
279,2012Q1,S08000028,S08000028,"",Urological,"",157,"",158,""
280,2012Q1,S08000028,S08000028,"",All Cancer Types,d,137,"",140,""
281,2012Q1,S08000028,S92000003,d,Colorectal,"",511,"",504,""
282,2012Q1,S08000028,S92000003,d,Head & Neck,"",352,"",353,""
283,2012Q1,S08000028,S92000003,d,Lung,"",511,"",504,""
284,2012Q1,S08000028,S92000003,d,Melanoma,"",1,"",2,""
285,2012Q1,S08000028,S92000003,d,Upper GI,"",352,"",353,""
286,2012Q1,S08000028,S92000003,d,Urological,"",260,"",265,""
287,2012Q1,S08000028,S92000003,d,All Cancer Types,d,218,"",221,""
288,2012Q1,S08000028,SB0801,"",Lung,"",157,"",158,""
289,2012Q1,S08000028,SB0801,"",Upper GI,"",1,"",2,""
290,2012Q1,S08000028,SB0801,"",All Cancer Types,d,260,"",265,""
291,2012Q1,S08000029,S08000024,"",Breast,"",157,"",158,""
292,2012Q1,S08000029,S08000024,"",Cervical,"",157,"",158,""
293,2012Q1,S08000029,S08000024,"",Colorectal,"",352,"",353,""
294,2012Q1,S08000029,S08000024,"",Head & Neck,"",158,"",150,""
295,2012Q1,S08000029,S08000024,"",Lung,"",188,"",179,""
296,2012Q1,S08000029,S08000024,"",Lymphoma,"",260,"",265,""
297,2012Q1,S08000029,S08000024,"",Ovarian,"",157,"",158,""
298,2012Q1,S08000029,S08000024,"",Upper GI,"",511,"",504,""
299,2012Q1,S08000029,S08000024,"",Urological,"",511,"",479,""
300,2012Q1,S08000029,S08000024,"",All Cancer Types,d,512,"",497,""
301,2012Q1,S08000029,S08000029,"",Breast,"",376,"",369,""
302,2012Q1,S08000029,S08000029,"",Cervical,"",1,"",2,""
303,2012Q1,S08000029,S08000029,"",Colorectal,"",370,"",365,""
304,2012Q1,S08000029,S08000029,"",Head & Neck,"",352,"",353,""
305,2012Q1,S08000029,S08000029,"",Lung,"",440,"",441,""
306,2012Q1,S08000029,S08000029,"",Lymphoma,"",2,"",3,""
307,2012Q1,S08000029,S08000029,"",Melanoma,"",572,"",562,""
308,2012Q1,S08000029,S08000029,"",Ovarian,"",352,"",265,""
309,2012Q1,S08000029,S08000029,"",Upper GI,"",188,"",190,""
310,2012Q1,S08000029,S08000029,"",Urological,"",583,"",565,""
311,2012Q1,S08000029,S08000029,"",All Cancer Types,d,243,"",241,""
312,2012Q1,S08000029,S08000030,"",Lung,"",352,"",265,""
313,2012Q1,S08000029,S08000030,"",Upper GI,"",1,"",2,""
314,2012Q1,S08000029,S08000030,"",Urological,"",157,"",158,""
315,2012Q1,S08000029,S08000030,"",All Cancer Types,d,511,"",479,""
316,2012Q1,S08000029,S92000003,d,Breast,"",388,"",382,""
317,2012Q1,S08000029,S92000003,d,Cervical,"",260,"",265,""
318,2012Q1,S08000029,S92000003,d,Colorectal,"",394,"",389,""
319,2012Q1,S08000029,S92000003,d,Head & Neck,"",198,"",190,""
320,2012Q1,S08000029,S92000003,d,Lung,"",536,"",521,""
321,2012Q1,S08000029,S92000003,d,Lymphoma,"",35,"",38,""
322,2012Q1,S08000029,S92000003,d,Melanoma,"",572,"",562,""
323,2012Q1,S08000029,S92000003,d,Ovarian,"",483,"",424,""
324,2012Q1,S08000029,S92000003,d,Upper GI,"",272,"",277,""
325,2012Q1,S08000029,S92000003,d,Urological,"",7,"",581,""
326,2012Q1,S08000029,S92000003,d,All Cancer Types,d,322,"",316,""
327,2012Q1,S08000030,S08000020,"",Lung,"",1,"",2,""
328,2012Q1,S08000030,S08000020,"",All Cancer Types,d,1,"",2,""
329,2012Q1,S08000030,S08000024,"",Lung,"",483,"",479,""
330,2012Q1,S08000030,S08000024,"",All Cancer Types,d,483,"",479,""
331,2012Q1,S08000030,S08000030,"",Breast,"",9,"",10,""
332,2012Q1,S08000030,S08000030,"",Cervical,"",352,"",353,""
333,2012Q1,S08000030,S08000030,"",Colorectal,"",531,"",516,""
334,2012Q1,S08000030,S08000030,"",Head & Neck,"",167,"",168,""
335,2012Q1,S08000030,S08000030,"",Lung,"",431,"",433,""
336,2012Q1,S08000030,S08000030,"",Lymphoma,"",218,"",221,""
337,2012Q1,S08000030,S08000030,"",Melanoma,"",272,"",266,""
338,2012Q1,S08000030,S08000030,"",Ovarian,"",24,"",25,""
339,2012Q1,S08000030,S08000030,"",Upper GI,"",370,"",365,""
340,2012Q1,S08000030,S08000030,"",Urological,"",583,"",560,""
341,2012Q1,S08000030,S08000030,"",All Cancer Types,d,398,"",387,""
342,2012Q1,S08000030,S92000003,d,Breast,"",9,"",10,""
343,2012Q1,S08000030,S92000003,d,Cervical,"",352,"",353,""
344,2012Q1,S08000030,S92000003,d,Colorectal,"",531,"",516,""
345,2012Q1,S08000030,S92000003,d,Head & Neck,"",167,"",168,""
346,2012Q1,S08000030,S92000003,d,Lung,"",474,"",474,""
347,2012Q1,S08000030,S92000003,d,Lymphoma,"",218,"",221,""
348,2012Q1,S08000030,S92000003,d,Melanoma,"",272,"",266,""
349,2012Q1,S08000030,S92000003,d,Ovarian,"",24,"",25,""
350,2012Q1,S08000030,S92000003,d,Upper GI,"",370,"",365,""
351,2012Q1,S08000030,S92000003,d,Urological,"",583,"",560,""
352,2012Q1,S08000030,S92000003,d,All Cancer Types,d,402,"",392,""
353,2012Q1,S08000031,S08000022,"",Colorectal,"",157,"",158,""
354,2012Q1,S08000031,S08000022,"",All Cancer Types,d,157,"",158,""
355,2012Q1,S08000031,S08000024,"",Upper GI,"",1,"",2,""
356,2012Q1,S08000031,S08000024,"",Urological,"",1,"",2,""
357,2012Q1,S08000031,S08000024,"",All Cancer Types,d,157,"",158,""
358,2012Q1,S08000031,S08000031,"",Breast,"",241,"",244,""
359,2012Q1,S08000031,S08000031,"",Cervical,"",13,"",14,""
360,2012Q1,S08000031,S08000031,"",Colorectal,"",140,"",132,""
361,2012Q1,S08000031,S08000031,"",Head & Neck,"",520,"",501,""
362,2012Q1,S08000031,S08000031,"",Lung,"",178,"",174,""
363,2012Q1,S08000031,S08000031,"",Lymphoma,"",376,"",369,""
364,2012Q1,S08000031,S08000031,"",Melanoma,"",524,"",516,""
365,2012Q1,S08000031,S08000031,"",Ovarian,"",105,"",114,""
366,2012Q1,S08000031,S08000031,"",Upper GI,"",119,"",124,""
367,2012Q1,S08000031,S08000031,"",Urological,"",219,"",213,""
368,2012Q1,S08000031,S08000031,"",All Cancer Types,d,41,"",37,""
369,2012Q1,S08000031,S08000032,"",Breast,"",352,"",353,""
370,2012Q1,S08000031,S08000032,"",All Cancer Types,d,352,"",353,""
371,2012Q1,S08000031,S92000003,d,Breast,"",245,"",248,""
372,2012Q1,S08000031,S92000003,d,Cervical,"",13,"",14,""
373,2012Q1,S08000031,S92000003,d,Colorectal,"",142,"",134,""
374,2012Q1,S08000031,S92000003,d,Head & Neck,"",520,"",501,""
375,2012Q1,S08000031,S92000003,d,Lung,"",223,"",222,""
376,2012Q1,S08000031,S92000003,d,Lymphoma,"",376,"",369,""
377,2012Q1,S08000031,S92000003,d,Melanoma,"",524,"",516,""
378,2012Q1,S08000031,S92000003,d,Ovarian,"",105,"",114,""
379,2012Q1,S08000031,S92000003,d,Upper GI,"",120,"",125,""
380,2012Q1,S08000031,S92000003,d,Urological,"",220,"",214,""
381,2012Q1,S08000031,S92000003,d,All Cancer Types,d,51,"",52,""
382,2012Q1,S08000031,SB0801,"",Lung,"",388,"",382,""
383,2012Q1,S08000031,SB0801,"",All Cancer Types,d,388,"",382,""
384,2012Q1,S08000032,S08000031,"",Breast,"",157,"",158,""
